,Link,Name,Description,Price,Discounted_Price
96,https://www.nike.com/in/t/paris-saint-germain-2023-24-match-home-dri-fit-adv-football-shirt-DGXvFd/DX2620-411,Paris Saint-Germain 2023/24 Match Home,Men's Nike Dri-FIT ADV Football Shirt,MRP : ₹ 7 995.00,₹ 7 597.00
97,https://www.nike.com/in/t/zoom-superfly-elite-2-athletics-sprinting-spikes-bDFmq0/CD4382-400,Nike Zoom Superfly Elite 2,Athletics Sprinting Spikes,MRP : ₹ 13 995.00,₹ 13 297.00
98,https://www.nike.com/in/t/dri-fit-all-over-print-short-sleeve-yoga-top-fHz8s2/DX0923-015,Nike Dri-FIT,Men's All-Over Print Short-Sleeve Yoga Top,MRP : ₹ 3 695.00,₹ 3 507.00
99,https://www.nike.com/in/t/sportswear-tech-fleece-older-joggers-pZJx3L/FD2975-019,Nike Sportswear Tech Fleece,Older Kids' (Girls') Joggers,MRP : ₹ 4 795.00,₹ 4 557.00
100,https://www.nike.com/in/t/dri-fit-basketball-t-shirt-7wsVgn/FJ2303-010,Nike Dri-FIT,Men's Basketball T-shirt,MRP : ₹ 1 795.00,₹ 1 707.00
101,https://www.nike.com/in/t/zenvy-tie-dye-gentle-support-high-waisted-7-8-leggings-ZNLVWJ/FN4168-208,Nike Zenvy Tie-Dye,Women's Gentle-Support High-Waisted 7/8 Leggings,MRP : ₹ 5 495.00,₹ 5 217.00
102,https://www.nike.com/in/t/air-max-pulse-shoes-QShhG8/DR0453-003,Nike Air Max Pulse,Men's Shoes,MRP : ₹ 13 995.00,₹ 13 297.00
103,https://www.nike.com/in/t/sportswear-essential-slim-fit-crop-t-shirt-x17vLn/FB2874-361,Nike Sportswear Essential,Women's Slim-fit Crop T-Shirt,MRP : ₹ 1 995.00,₹ 1 897.00
104,https://www.nike.com/in/t/jordan-flight-mvp-t-shirt-pzSg1T/FN5958-010,Jordan Flight MVP,Men's T-Shirt,MRP : ₹ 1 995.00,₹ 1 897.00
105,https://www.nike.com/in/t/air-jordan-1-low-se-older-shoes-JTBc4n/FN9137-131,Air Jordan 1 Low SE,Older Kids' Shoes,MRP : ₹ 8 295.00,₹ 7 877.00
106,https://www.nike.com/in/t/trail-dri-fit-long-sleeve-running-top-8Lm6Jq/FN4707-104,Nike Trail,Women's Dri-FIT Long-Sleeve Running Top,MRP : ₹ 3 895.00,₹ 3 697.00
107,https://www.nike.com/in/t/dynamo-go-easy-on-off-shoes-st92bW/DH3438-100,Nike Dynamo Go,Baby/Toddler Easy On/Off Shoes,MRP : ₹ 3 995.00,₹ 3 797.00
108,https://www.nike.com/in/t/jumpman-mvp-shoes-JV1HCs/DZ4475-103,Jumpman MVP,Men's Shoes,MRP : ₹ 15 295.00,₹ 14 527.00
